trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,fixation.started,key_resp.started,fixation.stopped,trial.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,tilt,participant,session,date,expName,psychopyVersion,frameRate,expStart,
0,0,0,0,0.031350299999758136,,0.013128799999321927,0.031350299999758136,1.0114656999994622,1.0448959999994258,1.7140325999998822,down,0,0.6941091999997298,None,0,379919,001,2024-09-13_11h27.42.328,signal_detection_orientation,2024.1.5,None,2024-09-13 11h27.45.276538 +0530,
1,0,1,0,1.7255811999993966,,1.7150177999992593,1.7255811999993966,2.7231732000000193,2.7396208000000115,3.10785339999984,down,0,0.3835012999998071,None,0,379919,001,2024-09-13_11h27.42.328,signal_detection_orientation,2024.1.5,None,2024-09-13 11h27.45.276538 +0530,
2,0,2,0,3.1224655999994866,,3.108600999999908,3.1224655999994866,4.120743699999366,4.135044099999504,4.551887099999476,down,0,0.424693699999807,None,0,379919,001,2024-09-13_11h27.42.328,signal_detection_orientation,2024.1.5,None,2024-09-13 11h27.45.276538 +0530,
3,0,3,0,4.5678084999999555,,4.552643899999566,4.5678084999999555,5.5656388999996125,5.581708699999581,6.08194739999999,up,0,0.5043377000001783,None,1,379919,001,2024-09-13_11h27.42.328,signal_detection_orientation,2024.1.5,None,2024-09-13 11h27.45.276538 +0530,
4,0,4,0,6.097847499999261,,6.082682199999908,6.097847499999261,7.095080000000053,7.111284300000079,7.427993899999819,up,1,0.32273609999992914,None,0,379919,001,2024-09-13_11h27.42.328,signal_detection_orientation,2024.1.5,None,2024-09-13 11h27.45.276538 +0530,
5,0,5,0,7.443468699999357,,7.4287454999994225,7.443468699999357,8.440877600000022,8.45777999999973,9.206600099999378,down,1,0.7579304000000775,None,-5,379919,001,2024-09-13_11h27.42.328,signal_detection_orientation,2024.1.5,None,2024-09-13 11h27.45.276538 +0530,
6,0,6,0,9.223458299999947,,9.207369899999321,9.223458299999947,10.219511799999964,10.235403199999382,10.752059599999484,down,0,0.528864999999314,None,0,379919,001,2024-09-13_11h27.42.328,signal_detection_orientation,2024.1.5,None,2024-09-13 11h27.45.276538 +0530,
7,0,7,0,10.76785739999923,,10.752801999999974,10.76785739999923,11.76541670000006,11.782509099999515,12.464355699999942,down,1,0.6923711999997977,None,-3,379919,001,2024-09-13_11h27.42.328,signal_detection_orientation,2024.1.5,None,2024-09-13 11h27.45.276538 +0530,
8,0,8,0,12.479367899999488,,12.465349199999764,12.479367899999488,13.477127699999983,13.492992999999842,13.87701560000005,up,0,0.39301789999990433,None,2,379919,001,2024-09-13_11h27.42.328,signal_detection_orientation,2024.1.5,None,2024-09-13 11h27.45.276538 +0530,
9,0,9,0,13.892779099999643,,13.877822899999956,13.892779099999643,14.89044819999981,14.906940999999279,15.209855199999765,down,0,0.3105598000001919,None,0,379919,001,2024-09-13_11h27.42.328,signal_detection_orientation,2024.1.5,None,2024-09-13 11h27.45.276538 +0530,
